"id","fqdn/ip","port","severity","finding","cve","cwe"
"service","guadeloupe.gouv.fr/77.159.252.140","443","INFO","HTTP","",""
"pre_128cipher","guadeloupe.gouv.fr/77.159.252.140","443","INFO","No 128 cipher limit bug","",""
"SSLv2","guadeloupe.gouv.fr/77.159.252.140","443","OK","not offered","",""
"SSLv3","guadeloupe.gouv.fr/77.159.252.140","443","OK","not offered","",""
"TLS1","guadeloupe.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"TLS1_1","guadeloupe.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"TLS1_2","guadeloupe.gouv.fr/77.159.252.140","443","OK","offered","",""
"TLS1_3","guadeloupe.gouv.fr/77.159.252.140","443","OK","offered with final","",""
"ALPN","guadeloupe.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"cipherlist_NULL","guadeloupe.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_aNULL","guadeloupe.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_EXPORT","guadeloupe.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_LOW","guadeloupe.gouv.fr/77.159.252.140","443","OK","not offered","","CWE-327"
"cipherlist_3DES_IDEA","guadeloupe.gouv.fr/77.159.252.140","443","INFO","not offered","","CWE-310"
"cipherlist_OBSOLETED","guadeloupe.gouv.fr/77.159.252.140","443","INFO","not offered","","CWE-310"
"cipherlist_STRONG_NOFS","guadeloupe.gouv.fr/77.159.252.140","443","INFO","not offered","",""
"cipherlist_STRONG_FS","guadeloupe.gouv.fr/77.159.252.140","443","OK","offered","",""
"cipher_order-tls1_2","guadeloupe.gouv.fr/77.159.252.140","443","OK","server","",""
"cipherorder_TLSv1_2","guadeloupe.gouv.fr/77.159.252.140","443","INFO","ECDHE-RSA-AES128-GCM-SHA256","",""
"cipher_order","guadeloupe.gouv.fr/77.159.252.140","443","OK","server","",""
"FS","guadeloupe.gouv.fr/77.159.252.140","443","OK","offered","",""
"FS_ciphers","guadeloupe.gouv.fr/77.159.252.140","443","INFO","DHE-RSA-AES128-GCM-SHA256 DHE-RSA-AES256-GCM-SHA384 ECDHE-RSA-AES128-GCM-SHA256 ECDHE-RSA-AES256-GCM-SHA384","",""
"FS_ECDHE_curves","guadeloupe.gouv.fr/77.159.252.140","443","OK","prime256v1 secp384r1 secp521r1","",""
"TLS_extensions","guadeloupe.gouv.fr/77.159.252.140","443","INFO","'renegotiation info/#65281' 'server name/#0' 'EC point formats/#11' 'supported versions/#43' 'key share/#51' 'supported_groups/#10' 'max fragment length/#1' 'extended master secret/#23'","",""
"TLS_session_ticket","guadeloupe.gouv.fr/77.159.252.140","443","INFO","no -- no lifetime advertised","",""
"SSL_sessionID_support","guadeloupe.gouv.fr/77.159.252.140","443","INFO","yes","",""
"sessionresumption_ticket","guadeloupe.gouv.fr/77.159.252.140","443","INFO","not supported","",""
"sessionresumption_ID","guadeloupe.gouv.fr/77.159.252.140","443","INFO","not supported","",""
"TLS_timestamp","guadeloupe.gouv.fr/77.159.252.140","443","INFO","random","",""
"certificate_compression","guadeloupe.gouv.fr/77.159.252.140","443","INFO","none","",""
"clientAuth","guadeloupe.gouv.fr/77.159.252.140","443","INFO","none","",""
"cert_numbers","guadeloupe.gouv.fr/77.159.252.140","443","INFO","1","",""
"cert_signatureAlgorithm","guadeloupe.gouv.fr/77.159.252.140","443","OK","SHA256 with RSA","",""
"cert_keySize","guadeloupe.gouv.fr/77.159.252.140","443","INFO","RSA 2048 bits (exponent is 65537)","",""
"cert_keyUsage","guadeloupe.gouv.fr/77.159.252.140","443","INFO","Digital Signature, Key Encipherment","",""
"cert_extKeyUsage","guadeloupe.gouv.fr/77.159.252.140","443","INFO","TLS Web Server Authentication","",""
"cert_serialNumber","guadeloupe.gouv.fr/77.159.252.140","443","INFO","6B9A01CF95C1D7231AC60062353BBDB0","",""
"cert_serialNumberLen","guadeloupe.gouv.fr/77.159.252.140","443","INFO","16","",""
"cert_fingerprintSHA1","guadeloupe.gouv.fr/77.159.252.140","443","INFO","B69E5D9F8E7CAAAA40F69717610243E8C20CFAA7","",""
"cert_fingerprintSHA256","guadeloupe.gouv.fr/77.159.252.140","443","INFO","64CA246DBADA07705657B516D8DBD2CA0D239B98F0041EE1F34632777653AD42","",""
